city,date,time_ampm,temperature_c,humidity_percent,conditions,wind_speed_kmh
Rawalpindi,2025-11-05,11:00 PM,13.5,87,Clear sky,4.9
Rawalpindi,2025-11-06,12:00 AM,13.0,89,Clear sky,4.9
Rawalpindi,2025-11-10,06:00 PM,16.6,60,Clear sky,2.3
