city,date,time_ampm,temperature_c,humidity_percent,conditions,wind_speed_kmh
Sialkot,2025-11-05,11:00 PM,16.4,62,Clear sky,4.3
Sialkot,2025-11-06,12:00 AM,15.8,64,Clear sky,4.3
Sialkot,2025-11-10,06:00 PM,18.8,63,Clear sky,2.3
