city,date,time_ampm,temperature_c,humidity_percent,conditions,wind_speed_kmh
Sheikhupura,2025-11-05,11:00 PM,16.5,73,Clear sky,5.9
Sheikhupura,2025-11-06,12:00 AM,15.8,75,Clear sky,5.7
Sheikhupura,2025-11-10,06:00 PM,19.8,64,Clear sky,2.7
