city,date,time_ampm,temperature_c,humidity_percent,conditions,wind_speed_kmh
Kasur,2025-11-05,11:00 PM,16.8,63,Clear sky,5.4
Kasur,2025-11-06,12:00 AM,16.3,65,Clear sky,5.2
Kasur,2025-11-10,06:00 PM,20.1,55,Clear sky,1.1
