city,date,time_ampm,temperature_c,humidity_percent,conditions,wind_speed_kmh
Gujrat,2025-11-05,11:00 PM,16.6,63,Clear sky,6.2
Gujrat,2025-11-06,12:00 AM,16.1,67,Clear sky,6.9
Gujrat,2025-11-10,06:00 PM,19.1,65,Clear sky,2.9
