city,date,time_ampm,temperature_c,humidity_percent,conditions,wind_speed_kmh
Faisalabad,2025-11-05,11:00 PM,16.2,52,Clear sky,4.8
Faisalabad,2025-11-06,12:00 AM,15.5,54,Clear sky,4.9
Faisalabad,2025-11-10,06:00 PM,19.5,63,Clear sky,4.3
