city,date,time_ampm,temperature_c,humidity_percent,conditions,wind_speed_kmh
Lahore,2025-11-05,11:00 PM,17.9,61,Clear sky,4.7
Lahore,2025-11-06,12:00 AM,17.2,65,Clear sky,4.9
Lahore,2025-11-10,06:00 PM,21.4,51,Clear sky,2.5
