city,date,time_ampm,temperature_c,humidity_percent,conditions,wind_speed_kmh
Dera Ghazi Khan,2025-11-05,11:00 PM,20.5,68,Clear sky,4.3
Dera Ghazi Khan,2025-11-06,12:00 AM,19.8,72,Clear sky,3.9
Dera Ghazi Khan,2025-11-10,06:00 PM,24.0,44,Clear sky,5.1
