city,date,time_ampm,temperature_c,humidity_percent,conditions,wind_speed_kmh
Jhang,2025-11-05,11:00 PM,18.7,43,Clear sky,4.9
Jhang,2025-11-06,12:00 AM,18.1,43,Clear sky,4.5
Jhang,2025-11-10,06:00 PM,21.3,48,Clear sky,4.7
