timestamp,raw_file,clean_file,status,error_message2025-11-05 22:32:52,data/raw/punjab_forecast_20251105_223252.json,,SUCCESS,
2025-11-05 23:29:32,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/raw/punjab_weather_raw_20251105_232930.json,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean,SUCCESS,
2025-11-05 23:29:34,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/raw/punjab_weather_raw_20251105_232930.json,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean,FAILED,❌ Config file not found at /mnt/d/projects/open-meteo_weather_etl_pipeline/config/aws_config.yml or /mnt/d/projects/open-meteo_weather_etl_pipeline/config/aws_config.yml
2025-11-05 23:30:05,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/raw/punjab_weather_raw_20251105_232502.json,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean,FAILED,❌ Config file not found at /mnt/d/projects/open-meteo_weather_etl_pipeline/config/aws_config.yml or /mnt/d/projects/open-meteo_weather_etl_pipeline/config/aws_config.yml
2025-11-05 23:36:52,,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean/bahawalpur_weather.csv,SUCCESS,
2025-11-05 23:36:53,,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean/dera_ghazi_khan_weather.csv,SUCCESS,
2025-11-05 23:36:53,,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean/faisalabad_weather.csv,SUCCESS,
2025-11-05 23:36:54,,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean/gujranwala_weather.csv,SUCCESS,
2025-11-05 23:36:54,,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean/gujrat_weather.csv,SUCCESS,
2025-11-05 23:36:54,,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean/jhang_weather.csv,SUCCESS,
2025-11-05 23:36:55,,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean/kasur_weather.csv,SUCCESS,
2025-11-05 23:36:55,,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean/lahore_weather.csv,SUCCESS,
2025-11-05 23:36:56,,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean/multan_weather.csv,SUCCESS,
2025-11-05 23:36:56,,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean/okara_weather.csv,SUCCESS,
2025-11-05 23:36:57,,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean/rahim_yar_khan_weather.csv,SUCCESS,
2025-11-05 23:36:57,,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean/rawalpindi_weather.csv,SUCCESS,
2025-11-05 23:36:58,,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean/sahiwal_weather.csv,SUCCESS,
2025-11-05 23:36:58,,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean/sheikhupura_weather.csv,SUCCESS,
2025-11-05 23:36:59,,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean/sialkot_weather.csv,SUCCESS,
2025-11-05 23:36:59,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/raw/punjab_weather_raw_20251105_232930.json,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/clean,SUCCESS,
2025-11-05 23:37:03,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/raw/punjab_weather_raw_20251105_233703.json,,SUCCESS,
2025-11-05 23:37:03,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/raw/punjab_weather_raw_20251105_233703.json,,SUCCESS,
2025-11-05 23:37:03,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/raw/punjab_weather_raw_20251105_233703.json,,SUCCESS,
2025-11-05 23:37:03,/mnt/d/projects/open-meteo_weather_etl_pipeline/data/raw/punjab_weather_raw_20251105_233703.json,,SUCCESS,
